id,type,domain,expected_source,expected_alignment,query,answer,reference,latency,decomp_score,crossref_score,currency_score,error,faithfulness,context_precision
B01,type_b,labor,domestic,no_international,Nếu người sử dụng lao động đơn phương chấm dứt hợp đồng trái pháp luật thì phải bồi thường những gì cho người lao động?,"Nếu người sử dụng lao động đơn phương chấm dứt hợp đồng trái pháp luật thì phải:

- Nhận người lao động trở lại làm việc theo hợp đồng lao động đã giao kết.

- Trả tiền lương, bảo hiểm xã hội, bảo hiểm y tế trong những ngày người lao động không được làm việc.

- Bồi thường một khoản tiền tương ứng với tiền lương trong những ngày người lao động không được làm việc. 

- Cộng với ít nhất 01 tháng tiền lương theo hợp đồng lao động.","Theo Bộ luật Lao động 2019, người sử dụng lao động đơn phương chấm dứt hợp đồng trái pháp luật phải nhận người lao động trở lại làm việc, trả tiền lương và các quyền lợi trong thời gian không được làm việc, trả thêm ít nhất 2 tháng tiền lương. Nếu người lao động không muốn trở lại, người sử dụng phải trả thêm trợ cấp thôi việc.",2.98,,,,,1.0,0.8333333332916666
B02,type_b,labor,domestic,no_international,Điều kiện để thành lập tổ chức đại diện người lao động tại doanh nghiệp là gì và tổ chức này có quyền hạn gì?,"Dựa trên các thông tin đã cung cấp, Điều kiện để thành lập tổ chức đại diện người lao động tại doanh nghiệp (công đoàn cơ sở) và quyền hạn của tổ chức này có thể được hiểu như sau:

Điều kiện để thành lập tổ chức đại diện người lao động tại doanh nghiệp:

- **Doanh nghiệp đã hoạt động**: Đối với các doanh nghiệp đang hoạt động và chưa có tổ chức công đoàn, Liên đoàn lao động cấp tỉnh phải thành lập tổ chức công đoàn trong thời hạn sáu tháng kể từ ngày Bộ Luật Lao động có hiệu lực.

- **Doanh nghiệp mới thành lập**: Đối với doanh nghiệp mới thành lập, thời hạn để thành lập tổ chức công đoàn là sáu tháng kể từ ngày doanh nghiệp bắt đầu hoạt động.

- **Người lao động có quyền thành lập, gia nhập và hoạt động công đoàn**: Theo Điều 189, người lao động trong doanh nghiệp có quyền thành lập, gia nhập và hoạt động công đoàn theo quy định của Luật Công đoàn.

Quyền hạn của tổ chức đại diện người lao động (công đoàn cơ sở):

- **Đại diện và bảo vệ quyền, lợi ích hợp pháp**: Công đoàn có quyền và trách nhiệm đại diện, bảo vệ quyền, lợi ích hợp pháp, chính đáng của người lao động (theo Điều 17 và Điều 20).

- **Quyền và trách nhiệm cụ thể**: Công đoàn cấp trên cơ sở có quyền và trách nhiệm vận động, hỗ trợ và hướng dẫn các hoạt động công đoàn tại doanh nghiệp.

Tóm lại, điều kiện chính để thành lập tổ chức đại diện người lao động tại doanh nghiệp là thời gian hoạt động của doanh nghiệp (sáu tháng kể từ khi hoạt động hoặc từ khi Bộ Luật Lao động có hiệu lực) và sự sẵn sàng của người lao động trong việc thành lập hoặc gia nhập công đoàn. Tổ chức đại diện này có quyền hạn trong việc đại diện và bảo vệ quyền, lợi ích hợp pháp của người lao động.","Theo Bộ luật Lao động 2019 và Nghị định 145/2020, tổ chức đại diện người lao động tại doanh nghiệp được thành lập khi có đủ số lượng thành viên tối thiểu theo quy định. Tổ chức này có quyền thương lượng tập thể, đình công hợp pháp và đại diện cho người lao động trong quan hệ lao động.",3.77,,,,,0.75,0.19999999998
B03,type_b,labor,domestic,no_international,Thủ tục giải quyết tranh chấp lao động cá nhân theo trình tự như thế nào?,"Tranh chấp lao động cá nhân phải thông qua thủ tục hòa giải của hòa giải viên lao động trước khi yêu cầu tòa án giải quyết.

Trong thời hạn 05 ngày làm việc kể từ ngày nhận được yêu cầu hòa giải, hòa giải viên lao động phải kết thúc hòa giải.

Việc tiến hành hòa giải được thực hiện các bước sau:

1. Xác định thời hiệu yêu cầu giải quyết tranh chấp: Thời hiệu yêu cầu giải quyết tranh chấp lao động cá nhân là 03 tháng kể từ ngày phát sinh tranh chấp.

2. Hòa giải viên lao động tiến hành hòa giải với sự tham gia của các bên tranh chấp hoặc đại diện được ủy quyền của họ.

Tại phiên họp hòa giải, phải có mặt hai bên tranh chấp hoặc đại diện được ủy quyền của họ.

Chậm nhất bảy ngày, kể từ ngày nhận được đơn yêu cầu hòa giải, Hội đồng hòa giải lao động cơ sở tiến hành hòa giải.

Nếu không bắt buộc phải qua thủ tục hòa giải: 

- Các tranh chấp lao động cá nhân liên quan đến việc xử lý kỷ luật lao động theo hình thức sa thải.

- Các tranh chấp lao động cá nhân liên quan đến việc đơn phương chấm dứt hợp đồng lao động.","Theo Bộ luật Lao động 2019, tranh chấp lao động cá nhân phải qua hòa giải viên lao động trước khi khởi kiện ra Tòa án, trừ một số tranh chấp được khởi kiện thẳng ra Tòa án. Thời hạn hòa giải là 5 ngày làm việc.",3.38,,,,,0.875,
B04,type_b,labor,domestic,no_international,Người lao động nước ngoài làm việc tại Việt Nam phải đáp ứng những điều kiện gì và có cần giấy phép lao động không?,"Người lao động nước ngoài làm việc tại Việt Nam phải đáp ứng những điều kiện sau:

- Có năng lực hành vi dân sự đầy đủ;

- Có trình độ chuyên môn, tay nghề và sức khỏe phù hợp với yêu cầu công việc;

- Không nằm trong trường hợp bị cấm xuất cảnh

Và người lao động nước ngoài làm việc tại Việt Nam cần giấy phép lao động trừ một số trường hợp quy định. Giấy phép lao động là một yêu cầu bắt buộc đối với người lao động nước ngoài làm việc tại Việt Nam, nhằm đảm bảo rằng họ có đủ kỹ năng, kinh nghiệm và sức khỏe để thực hiện công việc và tuân thủ các quy định pháp luật của Việt Nam.","Theo Nghị định 152/2020, người lao động nước ngoài làm việc tại Việt Nam phải có giấy phép lao động do Bộ Lao động Thương binh và Xã hội hoặc Sở Lao động cấp, trừ một số trường hợp miễn. Phải đáp ứng điều kiện sức khỏe, trình độ chuyên môn và không có tiền án về an ninh quốc gia.",3.7,,,,,0.5714285714285714,0.94999999997625
B05,type_b,labor,domestic,no_international,Chế độ trợ cấp thôi việc và trợ cấp mất việc làm khác nhau như thế nào?,"Dựa trên thông tin cung cấp, chế độ trợ cấp thôi việc và trợ cấp mất việc làm có một số điểm khác biệt chính như sau:

1. **Trợ cấp thôi việc:**
   - Được chi trả cho người lao động đã làm việc thường xuyên cho người sử dụng lao động từ đủ 12 tháng trở lên.
   - Khi hợp đồng lao động chấm dứt theo quy định tại các khoản cụ thể (ví dụ: Điều 48 của Bộ luật Lao động).
   - Mức trợ cấp thôi việc thường được tính bằng 1/2 tháng tiền công hoặc tiền lương và phụ cấp lương (nếu có) cho mỗi năm làm việc.

2. **Trợ cấp mất việc làm:**
   - Thông tin cụ thể về trợ cấp mất việc làm không được nêu rõ trong đoạn văn cung cấp, nhưng thường liên quan đến trường hợp người lao động bị mất việc làm do sự kiện bất ngờ hoặc do công ty không có đủ điều kiện để tiếp tục thuê người lao động.
   - Điều kiện và mức trợ cấp có thể khác với trợ cấp thôi việc.

Ngoài ra, một điểm quan trọng khác là thời gian người lao động đóng bảo hiểm thất nghiệp không được tính để hưởng trợ cấp thôi việc hoặc trợ cấp mất việc làm theo quy định của pháp luật về lao động và pháp luật về bảo hiểm xã hội. 

Tóm lại, trợ cấp thôi việc và trợ cấp mất việc làm có các quy định khác nhau về điều kiện, mức hưởng và thời gian tính trợ cấp.","Theo Bộ luật Lao động 2019, trợ cấp thôi việc áp dụng khi người lao động nghỉ việc tự nguyện, mức 1/2 tháng lương cho mỗi năm làm việc. Trợ cấp mất việc làm áp dụng khi doanh nghiệp thay đổi cơ cấu, mức 1 tháng lương cho mỗi năm làm việc, tối thiểu 2 tháng lương.",3.62,,,,,0.625,
B06,type_b,food_safety,domestic,no_international,Doanh nghiệp xuất khẩu thực phẩm sang EU cần phải đáp ứng những yêu cầu pháp lý nào theo quy định Việt Nam?,"Để xuất khẩu thực phẩm sang EU, doanh nghiệp cần đáp ứng các yêu cầu pháp lý sau theo quy định của Việt Nam:

1. **Cơ sở sản xuất và bảo quản**: Doanh nghiệp phải sản xuất và bảo quản thực phẩm tại cơ sở có tên trong danh sách các cơ sở tham gia chương trình chứng nhận xuất khẩu theo thị trường EU.

2. **An toàn thực phẩm và ghi nhãn**: Thực phẩm xuất khẩu phải đáp ứng các quy định về an toàn thực phẩm và ghi nhãn hàng hóa theo quy định của EU. Điều này bao gồm việc tuân thủ các tiêu chuẩn an toàn thực phẩm, quy định về dư lượng thuốc bảo vệ thực vật, và ghi nhãn các thông tin bắt buộc.

3. **Điều kiện bảo đảm an toàn**: Thực phẩm xuất khẩu phải đáp ứng các điều kiện bảo đảm an toàn thực phẩm của Việt Nam và phù hợp với quy định về an toàn thực phẩm của EU.

4. **Chứng nhận xuất khẩu**: Doanh nghiệp cần tham gia chương trình chứng nhận xuất khẩu của Việt Nam để đảm bảo rằng sản phẩm của họ đáp ứng các tiêu chuẩn cần thiết để tiếp cận thị trường EU.

5. **Trách nhiệm của tổ chức, hộ gia đình, cá nhân nhập khẩu thực phẩm (áp dụng cho xuất khẩu)**: Mặc dù điều này áp dụng trực tiếp cho nhập khẩu, nhưng tinh thần của quy định là doanh nghiệp xuất khẩu cũng cần đảm bảo vệ sinh an toàn đối với thực phẩm xuất khẩu.

Nhìn chung, để xuất khẩu thực phẩm sang EU, doanh nghiệp Việt Nam cần tuân thủ các quy định pháp lý liên quan đến an toàn thực phẩm, chứng nhận xuất khẩu, và các yêu cầu cụ thể của thị trường EU.","Doanh nghiệp xuất khẩu thực phẩm sang EU cần có Giấy chứng nhận đủ điều kiện an toàn thực phẩm, đăng ký với cơ quan có thẩm quyền, đáp ứng các quy định về kiểm dịch, truy xuất nguồn gốc và ghi nhãn theo quy định của cả Việt Nam và EU.",3.57,,,,,0.23076923076923078,0.49999999995
B07,type_b,food_safety,domestic,no_international,Quy trình thu hồi sản phẩm thực phẩm không an toàn được quy định như thế nào?,"## Quy trình thu hồi sản phẩm thực phẩm không an toàn 

Căn cứ Điều 4 Thông tư quy định, trình tự thu hồi tự nguyện được quy định như sau:

- Trong thời gian tối đa **24 giờ**, kể từ thời điểm phát hiện hoặc nhận được thông tin phản ánh về sản phẩm không bảo đảm an toàn nếu xác định sản phẩm thuộc trường hợp phải thu hồi, chủ sản phẩm có trách nhiệm:

  - Thông báo bằng điện thoại, email hoặc các hình thức khác về việc thu hồi cho các nhà phân phối, cơ sở bán lẻ, tiêu thụ sản phẩm; đồng thời thông báo cho cơ quan có thẩm quyền về việc thu hồi sản phẩm theo mẫu tại Phụ lục 02 ban hành kèm theo Thông tư này

  - Gửi thông báo thu hồi sản phẩm tới các cơ quan truyền thông, báo chí để đăng tải trên trang thông tin điện tử và các phương tiện thông tin đại chúng khác; 

- **Trong thời gian tối đa 72 giờ**, kể từ thời điểm ban hành thông báo thu hồi, chủ sản phẩm phải hoàn thành việc thông báo thu hồi tới tất cả các nhà phân phối, cơ sở bán lẻ, tiêu thụ sản phẩm.

  - Chủ sản phẩm phải phối hợp với các nhà phân phối, cơ sở bán lẻ, tiêu thụ sản phẩm để thực hiện thu hồi sản phẩm không bảo đảm an toàn.

Ngoài ra, tại Điều 8 có quy định các hình thức thu hồi thực phẩm nông lâm sản không bảo đảm an toàn gồm: 

- Thu hồi tự nguyện do cơ sở tự thu hồi; 

- Thu hồi bắt buộc do cơ quan có thẩm quyền yêu cầu.","Theo Luật An toàn thực phẩm, khi phát hiện thực phẩm không an toàn, tổ chức cá nhân sản xuất kinh doanh phải chủ động thu hồi, thông báo cho cơ quan nhà nước có thẩm quyền và người tiêu dùng, xử lý thực phẩm thu hồi theo quy định.",3.56,,,,,0.36363636363636365,
B08,type_b,food_safety,domestic,no_international,Trách nhiệm của Bộ Y tế và Bộ Nông nghiệp trong quản lý an toàn thực phẩm được phân công như thế nào?,"Bộ Y tế và Bộ Nông nghiệp có trách nhiệm như sau:

- **Bộ Y tế:** 
  - Chịu trách nhiệm trước Chính phủ thực hiện quản lý nhà nước về vệ sinh an toàn thực phẩm.
  - Trình Thủ tướng Chính phủ quyết định thành lập Viện Kiểm nghiệm an toàn vệ sinh thực phẩm quốc gia.
  - Quyết định thành lập theo thẩm quyền và quy định, chức năng, nhiệm vụ, quyền hạn, cơ cấu tổ chức và biên chế của các đơn vị thuộc Bộ.
  - Chịu trách nhiệm quản lý nhà nước về an toàn thực phẩm đối với những sản phẩm thực phẩm và cơ sở sản xuất, kinh doanh các sản phẩm thực phẩm theo quy định tại Phụ lục 1.

- **Bộ Nông nghiệp và Phát triển Nông thôn:** 
  - Chủ trì xây dựng, ban hành hoặc trình cơ quan nhà nước có thẩm quyền ban hành và tổ chức thực hiện các chính sách, chiến lược, quy hoạch, kế hoạch, văn bản quy phạm pháp luật về an toàn thực phẩm thuộc lĩnh vực được phân công quản lý.","Theo Luật An toàn thực phẩm và Nghị định 15/2018, Bộ Y tế quản lý thực phẩm chức năng, phụ gia, nước uống đóng gói; Bộ Nông nghiệp quản lý nông sản, thủy sản, rau quả tươi sống; Bộ Công Thương quản lý thực phẩm chế biến, đồ uống có cồn.",3.38,,,,,1.0,0.19999999998
B09,type_b,food_safety,domestic,no_international,Mức xử phạt vi phạm hành chính về an toàn thực phẩm như thế nào?,Mức phạt tiền tối đa đối với mỗi hành vi vi phạm hành chính về an toàn thực phẩm là 100.000.000 đồng đối với cá nhân và 200.000.000 đồng đối với tổ chức.,"Theo Nghị định 115/2018 sửa đổi bởi Nghị định 124/2021, mức phạt tiền tối đa về an toàn thực phẩm đối với cá nhân là 100 triệu đồng, đối với tổ chức là 200 triệu đồng, ngoài ra có thể bị đình chỉ hoạt động và thu hồi giấy phép.",2.99,,,,,1.0,0.9999999999
B10,type_b,labor,domestic,no_international,Quy định về làm thêm giờ tối đa và điều kiện để được làm thêm giờ là gì?,"Dựa trên thông tin cung cấp, quy định về làm thêm giờ tối đa và điều kiện để được làm thêm giờ như sau:

1. **Quy định về làm thêm giờ tối đa:**
   - Tổng số giờ làm việc của ca làm việc và số giờ làm thêm không quá 12 giờ trong 01 ngày.
   - Số giờ làm thêm không quá 300 giờ trong 01 năm.

2. **Điều kiện để được làm thêm giờ:**
   - Người sử dụng lao động được sử dụng người lao động làm thêm giờ khi đáp ứng đủ các điều kiện theo pháp luật, thỏa ước lao động tập thể hoặc theo nội quy lao động. 

Ngoài ra, một số quy định chi tiết khác về làm thêm giờ như sau:

- Thời gian làm thêm giờ là khoảng thời gian làm việc ngoài ca làm việc hoặc ngoài phiên làm việc quy định.
- Không quá 50% số giờ làm việc bình thường trong 01 ngày khi làm thêm; khi áp dụng quy định làm việc theo tuần thì tổng số giờ làm việc bình thường và số giờ làm thêm không quá 12 giờ trong 01 ngày.
- Không quá 12 giờ trong 01 ngày khi làm thêm giờ trong một số trường hợp đặc biệt.","Theo Bộ luật Lao động 2019, thời gian làm thêm không quá 40 giờ/tháng và 200 giờ/năm, một số ngành được tối đa 300 giờ/năm. Điều kiện làm thêm phải được người lao động đồng ý, trả lương tăng thêm theo quy định và đảm bảo sức khỏe người lao động.",3.5,,,,,1.0,0.36666666664833336
